state_abbreviation,Employment.Nonemployer Establishments,Housing.Households,Housing.Housing Units,Housing.Median Value of Owner-Occupied Units,Miscellaneous.Manufacturers Shipments,Miscellaneous.Veterans,Population.2020 Population,Population.2010 Population,Sales.Accommodation and Food Services Sales,Sales.Retail Sales,Employment.Firms.Total,Employment.Firms.Women-Owned,Employment.Firms.Men-Owned,Employment.Firms.Minority-Owned,Employment.Firms.Nonminority-Owned,Employment.Firms.Veteran-Owned,Employment.Firms.Nonveteran-Owned,Income.Median Houseold Income,Income.Per Capita Income
AK,55593,248445,311410,5848200,3489443,64040,715304,693136,2168945,10263623,67118,21619,34697,13005,50392,7751,54744,68491.48148148147,33572.03703703704
AL,336445,1867893,2284847,7573400,97858493,330207,5024279,4779736,6770183,58564965,384098,137949,206593,92362,276122,42363,320119,43574.850746268654,24049.149253731342
AR,209179,1158071,1389129,7528500,52764145,197138,3011524,2915918,3661020,36815256,238342,76213,125250,35955,191489,26312,195044,42236.706666666665,23285.04
AZ,502593,2571268,3075981,2400200,49818382,488061,7151502,6392017,13944981,84716542,503826,182575,246377,135413,346301,46953,428766,48989.933333333334,24500.266666666666
CA,3453769,13044266,14366336,23999500,464748646,1574531,39538223,37253956,90783347,481800461,3587028,1321745,1865864,1622143,1833210,254108,3190841,67713.60344827586,33798.620689655174
CO,535299,2148994,2464164,17249000,50251235,373795,5773714,5029196,13615401,67815200,556253,194768,287151,85926,445320,51883,472293,58794.796875,31972.546875
CT,286874,1370746,1524992,2154700,55160095,167521,3605944,3574097,9542068,51632467,329894,106732,188723,56185,260587,31123,282119,79201.375,42480.5
DC,62583,284386,322793,601500,309832,26156,689545,601723,5101602,4439933,63408,27064,30237,29983,29521,5070,54217,86420.0,56147.0
DE,68623,363322,443781,740000,22597384,65438,989948,897934,2148437,14456001,74101,23996,38528,14445,55027,7219,60546,65988.0,33956.0
FL,2388050,7736311,9673682,11435900,87908278,1440338,21538187,18801310,49248142,273867145,2126855,808786,1092897,926807,1130599,186909,1854975,51290.22388059701,27563.283582089553
GA,955621,3758798,4378391,20026400,133741999,629302,10711908,9687653,18159299,119753704,950321,377211,486483,372002,545568,97613,806618,47229.6855345912,24484.43396226415
HI,112588,459424,550273,2232399,283322,101975,1455271,1360301,9536705,16440765,119460,44494,60716,74343,38750,11209,101641,76428.6,36972.0
IA,212333,1265473,1418626,12059900,109694331,185671,3190369,3046355,4488413,44905624,267557,82643,138322,14294,240008,26140,220893,57259.606060606064,30429.030303030304
ID,135986,630008,751105,8312900,6114134,116157,1839106,1567582,1941389,20355944,149678,45281,71329,10458,132157,12856,125360,50921.704545454544,25463.477272727272
IL,996670,4846134,5388066,12021800,252804258,570264,12812508,12830632,27572590,166634514,1152012,418131,615116,311893,801359,89705,1012619,56656.294117647056,29364.098039215685
IN,422619,2570419,2921032,11762100,232766603,380690,6785528,6483802,11794484,85857962,493700,163417,257971,61325,410316,45793,417312,55866.59782608696,28021.25
KS,202389,1129227,1288401,10904700,69451037,176444,2937880,2853118,4231880,38235513,245494,77462,127190,25805,206941,21500,205632,52864.68571428571,27615.295238095237
KY,295814,1734618,2006358,13464000,103768409,267594,4505836,4339367,5619723,54852475,341494,106319,187275,26891,299761,33454,285925,44882.21666666667,24117.466666666667
LA,385074,1739497,2089777,8238900,149638506,243335,4657757,4533372,11150709,61396364,423750,151384,218076,126226,281044,42621,357475,44874.015625,24386.296875
MA,573754,2617497,2928732,5945400,81902521,303534,7029917,6547629,17508975,92915380,614594,199391,359195,90044,502203,58604,527682,77745.57142857143,42183.07142857143
MD,471134,2205204,2176426,6614400,37904696,365356,6177224,5773552,11767225,76379707,539970,209332,278958,203592,317447,51177,464727,77541.625,38085.416666666664
ME,117341,559921,750939,2731700,11369841,103776,1362359,1328361,2901347,21521714,141856,42132,80010,4350,132202,15794,116610,53568.75,30126.5625
MI,730700,3935041,4629611,10909200,238296268,549526,10077331,9883640,17943225,119302046,849493,307364,451739,158938,663401,72451,739059,51808.34939759036,28080.843373493975
MN,416487,2185603,2477753,14259800,115078294,300044,5706494,5303925,11178364,78898182,499621,158331,271793,47010,432667,45979,423132,61656.48275862069,31850.701149425287
MO,404548,2414521,2641979,13828500,96990900,401779,6154913,5988927,12062947,90546581,504655,163043,262228,60796,421271,49661,420374,48096.11304347826,24973.565217391304
MS,222159,1104394,1339021,8032900,39728565,165538,2961279,2967297,6199785,37053189,242900,89418,127476,74899,157943,27234,200929,39613.07317073171,21758.451219512193
MT,93753,427871,519935,9845200,9673711,85350,1084225,989415,2404453,15552331,114676,35450,56599,5469,103569,11510,94070,50983.94642857143,28931.928571428572
NC,787883,3965482,4747943,15226300,197409011,659584,10439388,9535483,17882468,120691007,826332,288030,442133,183664,611138,87483,691903,48419.49,26640.94
ND,56523,318322,380173,7273600,7086036,46067,779094,672591,1864820,15475883,70289,20377,37644,2992,63052,6480,57588,62475.3962264151,34891.84905660377
NE,138728,759176,851227,10359800,41633336,117466,1961504,1826341,2871311,29836990,168403,51948,85125,14218,146084,16748,139005,54695.021505376346,29498.56989247312
NH,108327,532037,642315,2261100,18895624,96098,1377529,1316470,2942278,26018201,133665,38588,77274,6121,121968,16207,109372,69308.2,36819.6
NJ,745483,3231874,3641812,6647300,104459639,321991,9288994,8791894,19673558,133665728,802642,253296,467615,237530,537123,58350,711151,82887.14285714286,42013.76190476191
NM,125925,780249,948473,4574900,1628706,144977,2117522,2059179,4221924,25161336,154498,59152,71963,60712,84775,14212,129511,43722.969696969696,24620.21212121212
NV,240628,1098602,1261327,3324800,14315416,207767,3104614,2700551,27468193,38202124,228802,82548,114503,71869,145461,23095,191771,60119.64705882353,30188.70588235294
NY,1804188,7343234,8404381,12919900,146875179,705924,20201249,19378102,49285508,251167736,2027920,726235,1145485,709318,1254424,138185,1817283,62484.6129032258,32578.41935483871
OH,802331,4676358,5232869,11848000,301066135,709287,11799448,11536504,20500896,153553997,926852,307649,517067,122896,767671,91979,783732,55800.23863636364,28652.204545454544
OK,291452,1480061,1749464,8193100,56313070,270775,3959353,3751351,6808697,50168695,334268,105512,176488,65031,251580,36477,275846,48710.72727272727,25253.376623376622
OR,302653,1611982,1808465,8533800,50955543,283045,4237256,3831074,7720090,49401909,346128,123286,167991,41572,287764,31337,291200,53953.11111111111,28958.13888888889
PA,865041,5053106,5732628,10437000,220113786,759474,13002700,12702379,23302995,178794945,996293,305515,585715,131650,826149,98695,844466,57056.08955223881,30052.68656716418
RI,83145,410489,470168,1558800,11262158,54121,1097379,1052567,2481314,12063865,95417,30519,54829,14746,77269,9922,80041,76114.4,41684.0
SC,363971,1921862,2351286,5941400,95888358,365139,5118425,4625364,9528675,58093824,377117,132088,205603,83373,279696,48478,306136,45608.32608695652,25193.478260869564
SD,68062,341668,398205,7693300,10716291,57057,872995,800594,1746463,13727284,82920,23499,42996,3467,75035,8477,66585,54621.338461538464,29198.615384615383
TN,539987,2597292,3028213,13078500,127174143,431274,6910840,6346105,12199234,91641605,564228,196109,306154,105295,438730,59972,473536,47167.0,25324.894736842107
TX,2514301,9691647,11283353,30004699,634004781,1453449,29145505,25145561,51380384,353057406,2399286,868161,1265962,1071628,1240469,215073,2072053,52847.5905511811,26280.503937007874
UT,246766,977313,1133521,6822600,45834820,120447,3271616,2763885,4789281,38019024,254692,76395,133198,24401,220073,18805,220948,63059.58620689655,26673.827586206895
VA,459443,3151045,2473710,28710400,88387093,677533,8631393,7994802,17484907,109871332,672173,237038,358424,185188,456400,77109,554164,60756.73684210526,31250.18045112782
VT,62027,260029,339439,2975600,6850238,36988,643077,625741,1564272,9933751,76973,23436,41656,2347,70932,8284,63717,59759.78571428572,33184.5
WA,491908,2848396,3195004,10001300,50535475,529784,7705281,6724540,14079350,118924049,550175,188027,265257,92954,429812,49665,464302,59393.46153846154,30986.25641025641
WI,355166,2358156,2725296,11696500,167124842,331340,5893718,5686986,9860999,78201822,445280,134237,240673,40477,385219,40280,375602,58305.86111111111,31034.36111111111
WV,88150,732585,894956,6206600,17247799,130536,1793716,1852994,2852356,22637923,118673,39237,64231,5591,106171,12961,96265,44892.236363636366,24691.836363636365
WY,53042,230101,280291,5421700,6869127,44999,576851,563626,1597089,9446043,63846,19392,30472,4034,55967,6511,51844,61828.65217391304,32161.782608695652
